question,augmented,label
Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?,Q is as much younger than r as he is older than T. If the sum of the ages of r and T is 50 years. What is definitely the difference between R and Q's age?,1
Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?,Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years.,0
Calculate the maximum distance you can travel with $8.50 on a cab which charges $3.50 for the first quarter-mile and 10 cents for each additional quarter mile.,Calculate the maximum distance you can travel with $ 8.50 on a cab which charges $ 3.50 for the first quarter-mile and 10 cents for each additional quarter mile.,1
Calculate the maximum distance you can travel with $8.50 on a cab which charges $3.50 for the first quarter-mile and 10 cents for each additional quarter mile.,Calculate the maximum distance you can travel with $8.50 on a cab which charges $3.50 for the first quarter-mile and 10 cents for each,0
"In IPL season, Sachin current batting average is 51. In the finals, he scores 78 runs, then is batting average will be 54. Find out the total number of matches played by Sachin in this season.","In IPL season, Sachin current batting average is 51. In the finals, he scores 78 runs, then is batting average will be 54. Find out the total number of matches played by Sachin in this season.",1
"In IPL season, Sachin current batting average is 51. In the finals, he scores 78 runs, then is batting average will be 54. Find out the total number of matches played by Sachin in this season.","In IPL season, current batting average is 51. In the finals, he scores 78 runs, then is batting average will be 54. Find out the total number of matches played by in this season.",0
"Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.)","Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter. )",1
"Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.)","Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter. )",0
A rectangular piece of 150 sq m has a length which is 1m more than the 4 times the breadth. What is the perimeter of the piece?,A rectangular piece of one50 sq m has a length which is onem more than the four times the breadth. What is the perimeter of the piece?,1
A rectangular piece of 150 sq m has a length which is 1m more than the 4 times the breadth. What is the perimeter of the piece?,A rectangular piece of 150 sq m has a length which is 1m more than the 4 times the breadth.,0
"One gram of a certain health food contains 9 percent of the minimum daily requirement of vitamin E and 8 percent of the minimum daily requirement of vitamin A. If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins?","One gram of a certain health food contains 9 percent of the minimum daily requirement of vitamin E and 8 percent of the minimum daily requirement of vitamin A. If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins?",1
"One gram of a certain health food contains 9 percent of the minimum daily requirement of vitamin E and 8 percent of the minimum daily requirement of vitamin A. If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins?","One gram of a certain health food contains 9 percent of the minimum daily requirement of and 8 percent of the minimum daily requirement of If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins?",0
Assistants are needed to prepare for preparation. Each helper can make either 2 large cakes or 35 small cakes/hr. The kitchen is available for 3 hours and 20 large cakes & 700 small cakes are needed. How many helpers are required?,Volunteers are needed to prepare.Each volunteer can bake either 2 large cakes or 35 small cakes per hour.The kitchen is available for 3 hours and 20 large and 700 small cakes are needed.How many helpers are needed?,1
Assistants are needed to prepare for preparation. Each helper can make either 2 large cakes or 35 small cakes/hr. The kitchen is available for 3 hours and 20 large cakes & 700 small cakes are needed. How many helpers are required?,Assistants are needed to prepare for preparation. Each helper can make either 2 large cakes or 35 small cakes/hr. The kitchen is available for 3 hours and 20 large cakes & 700 small cakes are needed.,0
"R, S, T, and U are points on a line, and U is the midpoint of line segment ST. If the lengths of line segments RS, RT, and ST are 5, 17, and 22, respectively. What is the length of line segment RU?","R, S, T, and U are points on a line, and U is the midpoint of line segment ST. If the lengths of line segments RS, RT, and ST are five, seventeen, and twenty-two, respectively. What is the length of line segment RU?",1
"R, S, T, and U are points on a line, and U is the midpoint of line segment ST. If the lengths of line segments RS, RT, and ST are 5, 17, and 22, respectively. What is the length of line segment RU?","R, S, T, and U are points on a , and U is the midpoint of segment ST. If the lengths of segments RS, RT, and ST are 5, 17, and 22, respectively. What is the length of segment RU?",0
Six pita breads contain the same amount of falafel as do two rolls. Three rolls contain the same amount of falafel as five baguettes do. Two baguettes contain the same amount of falafel as how many pita breads?,Six pita breads contain the same amount of falafel as do two rolls. Three rolls contain the same amount of falafel as five baguettes do. Two baguettes contain the same amount of falafel as how many pita breads?,1
Six pita breads contain the same amount of falafel as do two rolls. Three rolls contain the same amount of falafel as five baguettes do. Two baguettes contain the same amount of falafel as how many pita breads?,pita breads contain the same amount of falafel as do rolls. 3 rolls contain the same amount of falafel as 5 baguettes do. baguettes contain the same amount of falafel as how many pita breads?,0
A shopkeeper in order to promote his new shop put a discount of 20% on all the items for one day. Now he must sell the items at original price the other day. By what percentage must he increase the price to original?,A shopkeeper to advertise his new store granted a 20% discount on all items for one day.Now he has to sell the items at the original price.By what percentage does he have to increase the price of the original?,1
A shopkeeper in order to promote his new shop put a discount of 20% on all the items for one day. Now he must sell the items at original price the other day. By what percentage must he increase the price to original?,A shopkeeper in order to promote his new shop put a discount of 20% on all the items for one day. Now he must sell the items at the other day. By what percentage must he increase the price to original?,0
The bus fare for two persons for travelling between Agra and Aligarh id four-thirds the train fare between the same places for one person. The total fare paid by 6 persons travelling by bus and 8 persons travelling by train between the two places is Rs.1512. Find the train fare between the two places for one person?,"The bus fare for two persons for travelling between Agra and Aligarh id four-thirds the train fare between the same places for one person. The total fare paid by six persons travelling by bus and eight persons travelling by train between the two places is Rs.one thousand, five hundred and twelve. Find the train fare between the two places for one person?",1
The bus fare for two persons for travelling between Agra and Aligarh id four-thirds the train fare between the same places for one person. The total fare paid by 6 persons travelling by bus and 8 persons travelling by train between the two places is Rs.1512. Find the train fare between the two places for one person?,The bus 9100 for two persons for travelling between Agra and Aligarh id four-thirds the train fare between the same places for one person. The total fare paid by 6 persons travelling by bus and 8 persons travelling by train between the two places is Rs.1512. Find the train fare between the two places for one person?,0
A rectangle has a length of 8 centimeters and a width of 3 centimeters. Find the perimeter.,A rectangle is 8 centimetres long and 3 centimetres wide.Find the scope.,1
A rectangle has a length of 8 centimeters and a width of 3 centimeters. Find the perimeter.,Find the length and width of the rectangular object.,0
"Suppose you want to arrange your English, Hindi, Mathematics, History, Geography and Science books on a shelf. In how many ways can you do it ?","Suppose you want to put together your books on English, Hindi, mathematics, history, geography, and science on a single shelf.How many ways can you do that?",1
"Suppose you want to arrange your English, Hindi, Mathematics, History, Geography and Science books on a shelf. In how many ways can you do it ?","Suppose additionally want to arrange your English, Hindi, Mathematics, History, Geography and Science books on a shelf. In how many ways can you do it ?",0
"A straight picket fence is composed of x pickets each of which is 1/2 inch wide. If there are 6 inches of space between each pair of pickets, which of the following represents the length of fence in feet?","A straight picket fence consists of x picket posts, each 1 / 2 inch wide.If there is 6 inches of space between each pair of posts, which of the following points corresponds to the length of the fence in foot?",1
"A straight picket fence is composed of x pickets each of which is 1/2 inch wide. If there are 6 inches of space between each pair of pickets, which of the following represents the length of fence in feet?","A straight picket respective is composed of x pickets each of which is 1/2 inch wide. If there are 6 inches of space between each pair of pickets, which of the following represents the length of fence in feet?",0
A ship went on a voyage. After it had traveled 180 miles a plane started with 10 times the speed of the ship. Find the distance when they meet from starting point.,"A ship set sail.After covering 180 miles, an aircraft took off at ten times the speed of the ship.Find the distance if they meet from the starting point.",1
A ship went on a voyage. After it had traveled 180 miles a plane started with 10 times the speed of the ship. Find the distance when they meet from starting point.,A ship went on a voyage. After it had traveled 180 miles a with 10 times the speed of the ship. Find the distance when they meet from .,0
"In a large forest, 300 deer were caught, tagged, and returned during 2001. During 2002, 500 deer were caught at random, of which only 20 had tags from the previous year. If the percent of deer in the forest that had tags during the second year and were caught in the 500 deer sample is representative of the percent of the total deer population in the forest with tags, what is the total deer population in the forest (assuming no change in population between 2001 and 2002)?","In a large forest, 300 deer were caught, tagged, and returned during 2001. During 2002, 500 deer were caught at random, of which only 20 had tags from the previous year. If the percent of deer in the forest that had tags during the second year and were caught in the 500 deer sample is representative of the percent of the total deer population in the forest with tags, what is the total deer population in the forest (assuming no change in population between 2001 and 2002)?",1
"In a large forest, 300 deer were caught, tagged, and returned during 2001. During 2002, 500 deer were caught at random, of which only 20 had tags from the previous year. If the percent of deer in the forest that had tags during the second year and were caught in the 500 deer sample is representative of the percent of the total deer population in the forest with tags, what is the total deer population in the forest (assuming no change in population between 2001 and 2002)?","In a large forest, 300 54â were caught, tagged, and returned during 2001. During 2002, 500 deer were caught at random, of which only 20 had tags from the previous year. If the percent of deer in the forest that had tags during the second year and were caught in the 500 deer sample is representative of the percent of the total deer population in the forest with tags, what is the total deer population in the forest (assuming no change in population between 2001 and 2002)?",0
"In a railway station, there are two trains going. One in the harbor line and one in the main line, each having a frequency of 10 minutes. The main line service starts at 5 o'clock and the harbor line starts at 5.02 A.M. A man goes to the station every day to catch the first train that comes. What is the probability of the man catching the first train?","There are two trains in one station.One on the harbour line and one on the main line, each with a frequency of 10 minutes.The main line starts at 5am, the harbour line at 5.02am. Every day a man goes to the station to catch the first train that arrives.What is the likelihood that the man will catch the first train?",1
"In a railway station, there are two trains going. One in the harbor line and one in the main line, each having a frequency of 10 minutes. The main line service starts at 5 o'clock and the harbor line starts at 5.02 A.M. A man goes to the station every day to catch the first train that comes. What is the probability of the man catching the first train?","In a railway station, there are two trains going. One in the harbor line and one in the main line, each having a frequency of 10 minutes. The main line service starts at 5 o'clock and the harbor line starts at 5.02 A man goes to the station every day to catch the first train that comes. What is the probability of the man catching the first train?",0
The average (arithmetic mean) of the weight of 10 vehicles is 12.2 tons. The average weight of the group of vehicles increased by 2.6 tons after a new heavy duty truck was added to the group? What is the weight in tons of the heavy duty truck?,The average (arithmetic average) weight of 10 vehicles is 12.2 tonnes.The average weight of the vehicle group increased by 2.6 tonnes after a new heavy truck was added to the group?What is the weight of the heavy goods vehicle in tonnes?,1
The average (arithmetic mean) of the weight of 10 vehicles is 12.2 tons. The average weight of the group of vehicles increased by 2.6 tons after a new heavy duty truck was added to the group? What is the weight in tons of the heavy duty truck?,The average (arithmetic mean) of the weight of 10 vehicles is 12.2 junior. The average weight of the group of vehicles increased by 2.6 tons after a new heavy 1351 truck was added to the group? What is the weight in tons of the heavy duty truck?,0
"Boomtown urban planners expect the city’s population to increase by 10% per year over the next two years. If that projection were to come true, the population two years from now would be exactly double the population of one year ago. Which of the following is closest to the percent population increase in Boomtown over the last year?","Boomtown city planners expect the city's population to grow by 10% a year over the next two years.If this prediction is true, the population will be exactly twice as large in two years as it was a year ago.Which of the following is the closest to last year's percentage population growth in boomtown?",1
"Boomtown urban planners expect the city’s population to increase by 10% per year over the next two years. If that projection were to come true, the population two years from now would be exactly double the population of one year ago. Which of the following is closest to the percent population increase in Boomtown over the last year?","Boomtown urban planners expect the city’s to increase by 10% per year over the next two years. If that projection were to come true, the two years from now would be exactly double the of one year ago. Which of the following is closest to the percent increase in Boomtown over the last year?",0
"Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?","Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?",1
"Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?","Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?",0
"Julie’s yard is rectangular. One side of the yard is 100 feet wide. The total area of the yard is 3,000 square feet. What is the length of the other side of the yard?","Julie ’ s yard is rectangular. One side of the yard is 100 feet wide. The total area of the yard is 3,000 square feet. What is the length of the other side of the yard?",1
"Julie’s yard is rectangular. One side of the yard is 100 feet wide. The total area of the yard is 3,000 square feet. What is the length of the other side of the yard?","Julie’s 5000x is rectangular. One side of the yard is 100 feet wide. The total area of the yard is 3,000 square feet. What is the length of the other side of the yard?",0
"The greatest common factor of two positive integers is 11. The least common multiple of these two integers is 7700. If one of the integers is 350, what is the other?","The biggest common factor between two positive integers is 11th.The least common multiple of those two integers is 7700.If one integer is 350, then what is the other?",1
"The greatest common factor of two positive integers is 11. The least common multiple of these two integers is 7700. If one of the integers is 350, what is the other?","The greatest common factor of positive integers is 11. The least common multiple of these integers is 7700. If 1 of the integers is , what is the other?",0
"A square piece of cloth is trimmed by 4 feet on one edge to form a rectangular piece, which is then cut diagonally in half to create two triangles. If the area of each of triangle is 70 square feet, what was the perimeter (in feet) of the original piece of square cloth?","A square piece of cloth is trimmed by four feet on one edge to form a rectangular piece, which is then cut diagonally in half to create two triangles. If the area of each of triangle is seventy square feet, what was the perimeter (in feet) of the original piece of square cloth?",1
"A square piece of cloth is trimmed by 4 feet on one edge to form a rectangular piece, which is then cut diagonally in half to create two triangles. If the area of each of triangle is 70 square feet, what was the perimeter (in feet) of the original piece of square cloth?","A square piece of cloth is trimmed by 4 feet on one edge to form a rectangular piece, which is then cut diagonally in half to create two triangles.",0
The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. What is its length now?,The length of the ribbon was originally thirty cm. It was reduced in the ratio five : three. What is its length now?,1
The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. What is its length now?,The of the ribbon was originally 30 cm. It was in the ratio 5 : 3. What is its now?,0
there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school?,"There are more than 501 students in one school, so 20% of them studied exactly physics and 28% exactly mathematics.In school, what could be the least possible No?",1
there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school?,there are more than 501 students in a such that 20% of them exactly took and 28% of them exactly took math. What could be the least possible no of students in the ?,0
"If Raj was one-third as old as Rahim 5 years back and Raj is 17 years old now, How old is Rahim now?","If Raj was a third the age of Rahim 5 years ago and Raj is now 17 years old, how old is Rahim now?",1
"If Raj was one-third as old as Rahim 5 years back and Raj is 17 years old now, How old is Rahim now?","If Raj was one-third as old as Rahim 5 years back and Raj is 17 years old now, How old is now?",0
"A cow is tethered in the middle of a field with a 14 feet long rope. If the cow grazes 10 sq.ft. per day, then approximately what time will be taken by the cow to graze the whole field?","A cow is tethered in the middle of a field with a 14 feet long rope. If the cow grazes 10 sq.ft. per day, then approximately what time will be taken by the cow to graze the whole field?",1
"A cow is tethered in the middle of a field with a 14 feet long rope. If the cow grazes 10 sq.ft. per day, then approximately what time will be taken by the cow to graze the whole field?","A is tethered in the middle of a field with a 14 feet long rope. If the grazes 10 sq.ft. per day, then approximately what time will be taken by the to graze the whole field?",0
"A book was sold for Rs 27.50 with a profit of 10%. If it were sold for Rs. 25.75, then would have been percentage of profit and loss ?","A book was sold for Rs twenty-seven.fifty with a profit of ten%. If it were sold for Rs. Twenty-five.seventy-five, then would have been percentage of profit and loss ?",1
"A book was sold for Rs 27.50 with a profit of 10%. If it were sold for Rs. 25.75, then would have been percentage of profit and loss ?","A book was sold for Rs 27.50 with a profit of 10%. If it were sold for Rs. 25.75, then would have been of profit and ?",0
"In how many ways can a teacher in a kindergarten school arrange a group of 3 children (Susan, Tim and Zen) on 3 identical chairs in a straight line so that Susan is on the left of Tim?","In how many ways can a teacher in a kindergarten school arrange a group of 3 children (Susan, Tim and Zen) on 3 identical chairs in a straight line so that Susan is on the left of Tim?",1
"In how many ways can a teacher in a kindergarten school arrange a group of 3 children (Susan, Tim and Zen) on 3 identical chairs in a straight line so that Susan is on the left of Tim?","In how many ways can a teacher in a a group of 3 children (Susan, Tim and Zen) on 3 identical chairs in a straight line so that Susan is on the left of Tim?",0
"The telephone bill of a certain establishment is party fixed and partly varies as the number of calls consumed. When in a certain month 540 calls made the bill is Rs.1800. In another month 620 calls are consumed then the bill becomes Rs.2040. In another month 500 units are consumed due to more
holidays. The bill for that month would be :","The telephone bill of a certain establishment is party fixed and partly varies as the number of calls consumed. When in a certain month five hundred and forty calls made the bill is Rs.one thousand, eight hundred. In another month six hundred and twenty calls are consumed then the bill becomes Rs.two thousand and forty. In another month five hundred units are consumed due to more holidays. The bill for that month would be :",1
"The telephone bill of a certain establishment is party fixed and partly varies as the number of calls consumed. When in a certain month 540 calls made the bill is Rs.1800. In another month 620 calls are consumed then the bill becomes Rs.2040. In another month 500 units are consumed due to more
holidays. The bill for that month would be :",The telephone bill of a certain establishment is party fixed and partly varies as the number of calls consumed. When in a certain month 540 calls made the bill is Rs.1800. In another month 620 calls are consumed then the bill becomes Rs.2040. In another month 500 units are consumed due to more holidays.,0
"Two balls A and B rotate along a circular track. Ball A makes 2 full rotations in 26 minutes. Ball B makes 5 full rotation in 35 minutes. If they start rotating now from the same point, when will they be at the same starting point again?","Two balls A and B rotate along a circular track. Ball A makes 2 full rotations in 26 minutes. Ball B makes 5 full rotation in 35 minutes. If they start rotating now from the same point, when will they be at the same starting point again?",1
"Two balls A and B rotate along a circular track. Ball A makes 2 full rotations in 26 minutes. Ball B makes 5 full rotation in 35 minutes. If they start rotating now from the same point, when will they be at the same starting point again?","balls A and B rotate along a circular track. Ball A makes full rotations in 6 minutes. Ball B makes 5 full rotation in minutes. If they start rotating now from the same point, when will they be at the same starting point again?",0
"A bookshelf contains 45 books, 30 of which are hardcover and 20 of which are fiction. What is the maximum number of books that are both hardcover and fiction?","A bookshelf contains forty-five books, thirty of which are hardcover and twenty of which are fiction. What is the maximum number of books that are both hardcover and fiction?",1
"A bookshelf contains 45 books, 30 of which are hardcover and 20 of which are fiction. What is the maximum number of books that are both hardcover and fiction?","A contains 45 books, 30 of which are hardcover and 20 of which are fiction. What is the of books that are both hardcover and fiction?",0
"A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?","A newspaper costs $four on Sunday and $one the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $2one0 per week for newspapers, how many newspapers does it buy on Monday?",1
"A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?","A newspaper costs $4 on Sunday and $ the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $2 0 per week for newspapers, how many newspapers does it buy on Monday?",0
"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 extra, each. The number of those who attended the picnic was","A number of friends decided to go on a picnic and planned to spend Rupees. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rupees. 4 extra, each. The number of those who attended the picnic was",1
"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 extra, each. The number of those who attended the picnic was","A number of friends decided to go on a variants and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to wate Rs. 4 extra, each. The number of those who attended the picnic was",0
A wire in the shape of rectangle of length 27 cm and breadth 17 cm is rebent to form a square. What will be the measure of each side?,A wire in the shape of rectangle of length 27 cm and breadth 17 cm is rebent to form a square. What will be the measure of each side?,1
A wire in the shape of rectangle of length 27 cm and breadth 17 cm is rebent to form a square. What will be the measure of each side?,A wire in the pg of rectangle of length 27 jamboree and breadth 17 cm is rebent to form a square. What will be the measure of each side?,0
"A man divides Rs 8600 among 5 sons, 4 daughters and 2 nephews. If each daughter receives four times as much as each nephew, and each son receives five as much as each nephew. How much does each daughter receive ?","A man divides Rs 8600 among 5 sons, 4 daughters and 2 nephews. If each daughter receives four times as much as each nephew, and each son receives five as much as each nephew. How much does each daughter receive ?",1
"A man divides Rs 8600 among 5 sons, 4 daughters and 2 nephews. If each daughter receives four times as much as each nephew, and each son receives five as much as each nephew. How much does each daughter receive ?","A man divides Rs 8600 among sons, 4 daughters and nephews. If each daughter receives 4 times as much as each nephew, and each son receives as much as each nephew. How much does each daughter receive?",0
"Silu and Meenu were walking on the road.
Silu said, ""I weigh 51 Kgs. How much do you weigh?""
Meenu replied that she wouldn't reveal her weight directly as she is overweight.
But she said, ""I weigh 29 Kgs plus half of my weight. ""How much does Meenu weigh?","Silu and Meenu were walking on the road.
Silu said, ""I weigh 51 Kgs. How much do you weigh?""
Meenu replied that she wouldn't reveal her weight directly as she is overweight.
But she said, ""I weigh 29 Kgs plus half of my weight. ""How much does Meenu weigh?",1
"Silu and Meenu were walking on the road.
Silu said, ""I weigh 51 Kgs. How much do you weigh?""
Meenu replied that she wouldn't reveal her weight directly as she is overweight.
But she said, ""I weigh 29 Kgs plus half of my weight. ""How much does Meenu weigh?","Silu and Meenu were walking on the road. Silu said, ""I weigh Kgs. How much do you weigh? "" Meenu replied that she wouldn't reveal her weight directly as she is overweight. But she said, ""I weigh Kgs plus half of my weight. ""How much does Meenu weigh?",0
"Roy was suffering from severe headaches. He went to see his doctor and the doctor gave him 5 tablets asking him to take one tablet every 15 minutes.
How much time will it take Roy to consume all the 5 tablets?",Roy was suffering from severe headaches. He went to see his doctor and the doctor gave him five tablets asking him to take one tablet every 1five minutes. How much time will it take Roy to consume all the five tablets?,1
"Roy was suffering from severe headaches. He went to see his doctor and the doctor gave him 5 tablets asking him to take one tablet every 15 minutes.
How much time will it take Roy to consume all the 5 tablets?",Roy was suffering from severe headaches. He went to see his doctor and the doctor gave him tablets asking him to take 1 tablet every minutes. How much time will it take Roy to consume all the tablets?,0
"In a bag of red and green sweets, the ratio of red sweets to green sweets is 3:4. If the bag contains 120 green sweets, how many red sweets are there?","In a bag of red and green sweets, the ratio between red and green sweets is 3: 4.If the bag contains 120 green sweets, how many red sweets is there?",1
"In a bag of red and green sweets, the ratio of red sweets to green sweets is 3:4. If the bag contains 120 green sweets, how many red sweets are there?","In a bag of red and , the ratio of to is 3:4. If the bag contains 120 , how many are there?",0
"A club consists of members whose ages are in A.P. The common difference being 3 months. If the youngest member of the club is just 7 years old and the sum of the ages of all the members is 250, then number of members in the club are :","A club consists of members whose age is A.P.The usual difference is three months.If the youngest member of the club is only 7 years old and the total age of all members is 250, then the number of members in the club is:",1
"A club consists of members whose ages are in A.P. The common difference being 3 months. If the youngest member of the club is just 7 years old and the sum of the ages of all the members is 250, then number of members in the club are :","A club consists of members whose ages are in A.P. The common difference being 3 days. If the youngest member of the club is just 7 weeks old and the sum of the ages of all the members is 250, then number of members in the club are:",0
M men agree to purchase a gift for Rs. D. If 3 men drop out how much more will each have to contribute towards the purchase of the gift?,M men agree to purchase a gift for Rs. D. If 3 men drop out how much more will each have to contribute towards the purchase of the gift?,1
M men agree to purchase a gift for Rs. D. If 3 men drop out how much more will each have to contribute towards the purchase of the gift?,M agree to purchase a gift for Rs. D. If 3 drop out how much more will each have to contribute towards the purchase of the gift?,0
"Train ‘A’ leaves Mumbai Central for Lucknow at 11 am, running at the speed of 40 kmph. Train ‘B’ leaves Mumbai Central for Lucknow by the same route at 2 pm on the same day, running at the speed of 72 kmph. At what time will the two trains meet each other?","Train ‘A’ leaves Mumbai Central for Lucknow at 11 am, running at the speed of 40 kmph. Train ‘B’ leaves Mumbai Central for Lucknow by the same route at 2 pm on the same day, running at the speed of 72 kmph. At what time will the two trains meet each other?",1
"Train ‘A’ leaves Mumbai Central for Lucknow at 11 am, running at the speed of 40 kmph. Train ‘B’ leaves Mumbai Central for Lucknow by the same route at 2 pm on the same day, running at the speed of 72 kmph. At what time will the two trains meet each other?","Train ‘A’ leaves Mumbai Central for Lucknow at 11 am, at the speed of 40 kmph. Train ‘B’ leaves Mumbai Central for Lucknow by the same route at 2 pm on the same day, at the speed of 72 kmph. At what time will the two each other?",0
"The number of water lilies on a certain lake doubles every two days. If there is exactly one water lily on the lake, it takes 60 days for the lake to be fully covered with water lilies. In how many days will the lake be fully covered with lilies, if initially there were 64 water lilies on it?","The number of water lilies on a certain lake doubles every two days. If there is exactly one water lily on the lake, it takes 60 days for the lake to be fully covered with water lilies. In how many days will the lake be fully covered with lilies, if initially there were 64 water lilies on it?",1
"The number of water lilies on a certain lake doubles every two days. If there is exactly one water lily on the lake, it takes 60 days for the lake to be fully covered with water lilies. In how many days will the lake be fully covered with lilies, if initially there were 64 water lilies on it?","The number of water lilies on a certain lake doubles every two days. If there is exactly one on the lake, it takes 60 days for the lake to be fully covered with water lilies. In how many days will the lake be fully covered with lilies, if initially there were 64 water lilies on it?",0
x men working x hours per day can do x units of a work in x days. How much work can be completed by y men working y hours per day in y days?,x Men who work x hours per day can do x units of a job in x days.How much work can be done by men who work y days y hours a day?,1
x men working x hours per day can do x units of a work in x days. How much work can be completed by y men working y hours per day in y days?,x 592 guy2 x hours per day can do x units of a work in x days. How much work can be completed by y men working y hours per day in y days?,0
"ABCDE is a regular pentagon with F at its center. How many different quadrilaterals can be formed by joining 4 of the points A,B,C,D,E and F?","ABCDE is a regular pentagon with an F in the middle.How many different squares can be formed by connecting 4 of the points A, B, C, D, E and F?",1
"ABCDE is a regular pentagon with F at its center. How many different quadrilaterals can be formed by joining 4 of the points A,B,C,D,E and F?","ABCDE is a regular pentagon with F at its center. How many different quadrilaterals can be formed by joining 4 of the points A, B, C, D, E and F?",0
"Points A, B, C, D lie in this order on the circumference of a circle. Minor arc AC is 160°, and minor arc BD is 150°. If B bisects minor arc AC, then what is the measure of minor arc AD?","Points A, B, C, D lie in this order on the circumference of a circle. Minor arc AC is one hundred and sixty°, and minor arc BD is one hundred and fifty°. If B bisects minor arc AC, then what is the measure of minor arc AD?",1
"Points A, B, C, D lie in this order on the circumference of a circle. Minor arc AC is 160°, and minor arc BD is 150°. If B bisects minor arc AC, then what is the measure of minor arc AD?","Points A, B, C, D lie in this order on the circumference of a circle. Minor arc AC is °, and minor arc BD is °. If B bisects minor arc AC, then what is the measure of minor arc AD?",0
"If 75 percent of the employees of a certain company take a winter vacation, 40 percent take a winter and a summer vacation, and 20 percent take neither a winter nor a summer vacation, what Q percent of the employees take a summer vacation but not a winter vacation?","If seventy-five percent of the employees of a certain company take a winter vacation, forty percent take a winter and a summer vacation, and twenty percent take neither a winter nor a summer vacation, what Q percent of the employees take a summer vacation but not a winter vacation?",1
"If 75 percent of the employees of a certain company take a winter vacation, 40 percent take a winter and a summer vacation, and 20 percent take neither a winter nor a summer vacation, what Q percent of the employees take a summer vacation but not a winter vacation?","If 75 percent of the employees of a certain company take a winter vacation, 40 percent take a winter and a summer vacation, and 20 percent take neither a winter nor a summer vacation, what Q percent of the employees take a summer vacation but not",0
"During one season, a tennis team won 20 matches and lost 30% of their matches. What was the number of matches that the team lost?","During one season, a tennis team won twenty matches and lost thirty% of their matches. What was the number of matches that the team lost?",1
